Tweet ID,Text,Created at,Like count,Retweet count,Reply count,User,User Location,User Followers Count
1666522728805945358,"The conflicts in the Democratic Republic of the Congo, Sudan and terrorism in Somalia are threats to the stability of the region. They call for amplified cooperation and support to peace and security initiatives for a safer future. https://t.co/hfHAM8m3lD",2023-06-07 19:09:15+00:00,313,39,0,WilliamsRuto,Kenya,5982033
1666522706592911365,The international community should join hands in resolving disputes globally — including those in Africa. https://t.co/eRwit6jwxw,2023-06-07 19:09:10+00:00,972,116,0,WilliamsRuto,Kenya,5982033
1666470547532705794,"At State House, Nairobi, met @CZacharopoulou, the Minister for Development, Francophony and International Partnerships of the French Republic and Special Envoy of President @EmmanuelMacron . https://t.co/64Zy911vmv",2023-06-07 15:41:54+00:00,263,48,0,WilliamsRuto,Kenya,5982033
1666468007785164801,"This is the collective, bold and creative approach that the world desires in generating positive environmental and social outcomes. https://t.co/Xj4Y3AGmmX",2023-06-07 15:31:49+00:00,283,54,0,WilliamsRuto,Kenya,5982033
1666468005054693376,We are grateful to the generous support by the French Government towards the Inaugural Africa Climate Summit to be held in Nairobi in September. https://t.co/hgYzicbjBP,2023-06-07 15:31:48+00:00,1098,150,0,WilliamsRuto,Kenya,5982033
1666422765790928896,"Present were Isuzu East Africa Managing Director Rita Kavashe, Isuzu East Africa Chairman Hiroshi Hisatomi, Deputy Chief of Mission Counsellor in the Embassy of Japan Kitagawa Yasuhisha, among others. https://t.co/WyUnnWim92",2023-06-07 12:32:02+00:00,297,46,0,WilliamsRuto,Kenya,5982033
1666422432419250181,"Launched the first ever electro-deposition paint plant at the Isuzu East Africa, Nairobi; the Sh500 million will deepen the firm’s manufacturing to improve local production and make it globally competitive. https://t.co/w7gDaeo5IL",2023-06-07 12:30:43+00:00,178,23,0,WilliamsRuto,Kenya,5982033
1666421831153139715,"This will increase efficiency, boost productivity and create more jobs for our youth. https://t.co/64eU7KRwh8",2023-06-07 12:28:19+00:00,338,47,0,WilliamsRuto,Kenya,5982033
1666419606607601665,The bold decision by Isuzu to incorporate the state-of-the-art processes to elevate local vehicle production to world-class levels is a demonstration of its intent to endow the Kenyan manufacturing scene with advanced technologies. https://t.co/vJSi8yBas2,2023-06-07 12:19:29+00:00,1076,146,0,WilliamsRuto,Kenya,5982033
1666400003475009541,"Speaker of the Senate @HonAmasonKingi, Attorney General @HonJBMuturi, Cabinet Secretaries, MPs, among other leaders. https://t.co/Sn1gGQE3i0",2023-06-07 11:01:35+00:00,164,25,0,WilliamsRuto,Kenya,5982033
1666385304440242178,"Launch of the Isuzu Electro-Deposition Paint Plant, Nairobi. https://t.co/9HiKwi93fY",2023-06-07 10:03:11+00:00,522,78,1,WilliamsRuto,Kenya,5982033
1666384924486643712,"Present were Deputy President @rigathi, First Lady @MamaRachelRuto, Pastor Dorcas Gachagua, Prime Cabinet Secretary @MusaliaMudavadi, Speaker of the National Assembly @HonWetangula,... https://t.co/ICZfhF5Ccp",2023-06-07 10:01:40+00:00,279,35,0,WilliamsRuto,Kenya,5982033
1666384853657346048,"During the National Prayer Breakfast at Safari Park, Nairobi. https://t.co/82EfuG6bwP",2023-06-07 10:01:23+00:00,187,23,0,WilliamsRuto,Kenya,5982033
1666384787815165954,"Kenya is a democratic country which has accorded leaders the right to differ and compete  vigorously. Even so, we must endeavour to reconcile our commitments and appreciate the unity of our aspirations for a freer and more just, prosperous, united and secure nation. https://t.co/UuXkpR3Q26",2023-06-07 10:01:08+00:00,1696,201,0,WilliamsRuto,Kenya,5982033
1666359955946106881,"National Prayer Breakfast, Nairobi. https://t.co/uQG2XOQHzH",2023-06-07 08:22:27+00:00,570,95,0,WilliamsRuto,Kenya,5982033
1666303261316644865,"National Prayer Breakfast, Nairobi. https://t.co/OHBKHpNBjC",2023-06-07 04:37:10+00:00,1412,218,0,WilliamsRuto,Kenya,5982033
1666079519894274049,"At @StateHouseKenya, Nairobi, bade farewell to outgoing British High Commissioner to Kenya Jane Marriott. https://t.co/mGgyJAblAB",2023-06-06 13:48:06+00:00,472,69,0,WilliamsRuto,Kenya,5982033
1666079515909709833,"Your Excellency Ms @JaneMarriottUK, you have been a true friend of Kenya. We wish you the best of luck in your next tour of duty. https://t.co/a5bggIqdbl",2023-06-06 13:48:05+00:00,2885,332,0,WilliamsRuto,Kenya,5982033
1666074200371785729,"At @StateHouseKenya, Nairobi, met Botswana Vice President Slumber Tsogwane who is in Nairobi for the Second Session of the United Nations Habitat Assembly; offered our condolences to President Mokgweetsi Masisi for losing his dear mother. https://t.co/uAUu5rDrw6",2023-06-06 13:26:58+00:00,269,38,0,WilliamsRuto,Kenya,5982033
1666074196177481728,"Kenya undertakes to expand trade in horticulture, petroleum oils, medicines, textiles, cutlery and furniture through the exploitation of the African Continental Free Trade Agreement (AfCFTA), which Botswana ratified early in the year. https://t.co/f2Tc2khsXk",2023-06-06 13:26:57+00:00,310,47,0,WilliamsRuto,Kenya,5982033
1666074192574582786,"There exists a huge trade potential between Kenya and Botswana. Yet, the volumes remain proportionately low due to barriers. https://t.co/Eqm91BzNCJ",2023-06-06 13:26:56+00:00,1152,143,0,WilliamsRuto,Kenya,5982033
1665713399433494528,"At @StateHouseKenya, Nairobi, had a conversation with the Director General of the International Vaccine Institute (IVI) Jerome H. Kim who is keen on collaboration with countries in the use of new and improved vaccines, research and technology transfer. https://t.co/ZLRuzTewsE",2023-06-05 13:33:16+00:00,280,40,0,WilliamsRuto,Kenya,5982033
1665713395721535488,This will break our reliance on foreign imports of essential medicines and further our Universal Health Coverage agenda. https://t.co/cz1uQfiAUW,2023-06-05 13:33:15+00:00,366,42,0,WilliamsRuto,Kenya,5982033
1665713392860930049,"We are strategically supporting and providing incentives to strengthen the local manufacture of pharmaceuticals for effective, safe and affordable supply of medicines. https://t.co/5lZ0n6TFqj",2023-06-05 13:33:14+00:00,1582,190,0,WilliamsRuto,Kenya,5982033
1665675783774281728,"Present were Martha Delgado (President of the UN-Habitat Assembly), Zainab Hawa Bangura (Director-General of the United Nations Office in Nairobi), Maimunah Mohd Sharif (Executive Director UN-Habitat), Heads of State and Government, among other guests. https://t.co/WMEhaKq7wu",2023-06-05 11:03:48+00:00,240,38,0,WilliamsRuto,Kenya,5982033
1665675781291360257,"During the official opening of the Second Session of the United Nations Habitat Assembly, UN Complex, Nairobi. https://t.co/rOR5WnFpX7",2023-06-05 11:03:47+00:00,283,43,0,WilliamsRuto,Kenya,5982033
1665675778573451264,"This will enable us mobilise multilateralism to tackle poverty, reduce inequality and spur the accomplishment of the Sustainable Development Goals. https://t.co/3OK61i73ay",2023-06-05 11:03:47+00:00,141,25,0,WilliamsRuto,Kenya,5982033
1665675775993954305,We must aggressively pursue efforts to right the systemic malpractice and unfairness of the international financial architecture. https://t.co/6AULiRNSxW,2023-06-05 11:03:46+00:00,961,149,0,WilliamsRuto,Kenya,5982033
1665618664085934080,"Second Session of the United Nations Habitat Assembly, Gigiri, Nairobi. https://t.co/PaYAoLFNz6",2023-06-05 07:16:49+00:00,825,166,0,WilliamsRuto,Kenya,5982033
1665354386346844162,"""For everything God created is good, and nothing is to be rejected if it is received with thanksgiving, because it is consecrated by the word of God and prayer."" — 1 Timothy 4:4-5 https://t.co/YPntrsbLFJ",2023-06-04 13:46:41+00:00,1279,184,0,WilliamsRuto,Kenya,5982033
1665275865926864896,"Church service, Leshuta, Narok County. https://t.co/B4du8qKr02",2023-06-04 08:34:40+00:00,824,127,0,WilliamsRuto,Kenya,5982033
